,movie,year,imdb,metascore,votes,gross (usd),n_imdb
1376,Take This Waltz,2011,6.6,68,25779,1237514,66.0
1377,The End of the Tour,2015,7.3,82,25773,2993669,73.0
1378,My Big Fat Greek Wedding 2,2016,6.0,37,25766,59573085,60.0
1379,The Shack,2017,6.3,32,25723,57330873,63.0
1380,Belle,2013,7.4,64,25635,10726630,74.0
1381,The Brand New Testament,2015,7.1,70,25616,89182,71.0
1382,Sleepless,2017,5.6,34,25550,20757977,56.0
1383,What Maisie Knew,2012,7.5,74,25349,1065000,75.0
1384,Weekend,2011,7.6,81,25278,455459,76.0
1385,Palo Alto,2013,6.2,69,25268,750100,62.0
1386,White Bird in a Blizzard,2014,6.4,51,25262,33518,64.0
1387,Charlie Countryman,2013,6.4,31,25253,7973,64.0
1388,Tracks,2013,7.2,78,25236,508806,72.0
1389,To the Wonder,2012,5.9,58,25220,586293,59.0
1390,A Brilliant Young Mind,2014,7.2,65,25208,139511,72.0
1391,Z for Zachariah,2015,6.0,68,25148,118483,60.0
1392,The Good Lie,2014,7.4,65,25123,2716989,74.0
1393,Life of the Party,2018,5.5,46,24975,52856061,55.0
1394,The Lords of Salem,2012,5.1,57,24956,1163508,51.0
1395,Mandela: Long Walk to Freedom,2013,7.1,60,24936,8323085,71.0
1396,Nanny McPhee Returns,2010,6.1,52,24850,29197642,61.0
1397,Third Person,2013,6.4,38,24819,1019038,64.0
1398,The Void,2016,5.8,62,24782,150372,58.0
1399,The Red Turtle,2016,7.5,86,24740,920057,75.0
1400,Your Sister's Sister,2011,6.7,72,24722,1573712,67.0
1401,Sightseers,2012,6.5,69,24691,35722,65.0
1402,Top Five,2014,6.4,81,24673,25277561,64.0
1403,Victoria & Abdul,2017,6.8,58,24647,22245070,68.0
1404,Thanks for Sharing,2012,6.4,54,24538,1059239,64.0
1405,Clouds of Sils Maria,2014,6.7,78,24516,1811138,67.0
1406,The Kid with a Bike,2011,7.4,87,24491,1384749,74.0
1407,The Nut Job,2014,5.7,37,24481,64251541,57.0
1408,The Woman in Black 2: Angel of Death,2014,4.9,42,24466,26496583,49.0
1409,Dom Hemingway,2013,6.2,55,24461,518134,62.0
1410,Delhi Belly,2011,7.6,66,24457,1531757,76.0
1411,Thoroughbreds,2017,6.7,75,24420,2830775,67.0
1412,Secretariat,2010,7.2,61,24392,59713955,72.0
1413,Kai po che!,2013,7.6,40,24322,1122527,76.0
1414,The Old Man & the Gun,2018,6.8,80,24314,11277120,68.0
1415,Heartbeats,2010,7.2,70,24270,62985,72.0
1416,When Marnie Was There,2014,7.7,72,24267,765127,77.0
1417,Overboard,2018,5.9,42,24252,50316123,59.0
1418,Julieta,2016,7.1,73,24195,1489848,71.0
1419,The Warrior's Way,2010,6.3,45,24190,5664251,63.0
1420,Heaven Is for Real,2014,5.8,47,24151,91443253,58.0
1421,Serena,2014,5.4,36,24134,176305,54.0
1422,Heartbreaker,2010,6.8,59,23922,504030,68.0
1423,Tale of Tales,2015,6.4,72,23890,80809,64.0
1424,Max,2015,6.8,47,23886,42652003,68.0
1425,Rare Exports: A Christmas Tale,2010,6.7,71,23868,263210,67.0
1426,Vanishing on 7th Street,2010,4.9,50,23836,22197,49.0
1427,Equals,2015,6.1,43,23804,32095,61.0
1428,Turbo Kid,2015,6.7,60,23801,50000,67.0
1429,Winchester,2018,5.4,28,23771,25091816,54.0
1430,Parental Guidance,2012,6.1,36,23662,77267296,61.0
1431,The Little Death,2014,7.1,46,23519,18238,71.0
1432,The Guilty,2018,7.5,83,23415,207140,75.0
1433,"Big Mommas: Like Father, Like Son",2011,4.4,22,23390,37915414,44.0
1434,Testament of Youth,2014,7.3,76,23353,1822030,73.0
1435,The Bay,2012,5.6,65,23320,30474,56.0
1436,The Perfect Host,2010,6.8,48,23304,48430,68.0
1437,Highway,2014,7.7,40,23240,529136,77.0
1438,Dear White People,2014,6.1,79,23224,4404154,61.0
1439,Escape from Planet Earth,2013,5.9,35,23208,57012977,59.0
1440,"Roman J. Israel, Esq.",2017,6.4,58,23195,11962712,64.0
1441,If Beale Street Could Talk,2018,7.3,87,23194,14915773,73.0
1442,The Wife,2017,7.2,77,23128,9601092,72.0
1443,Shark Night 3D,2011,4.0,22,23115,18872522,40.0
1444,Loveless,2017,7.7,86,23091,566356,77.0
1445,The Glass Castle,2017,7.2,56,23060,17273059,72.0
1446,A Bigger Splash,2015,6.4,74,23056,1982505,64.0
1447,A Street Cat Named Bob,2016,7.4,54,23017,35070,74.0
1448,Barney's Version,2010,7.3,67,23002,7502560,73.0
1449,Diary of a Wimpy Kid: Rodrick Rules,2011,6.6,51,22965,52698535,66.0
1450,Padmaavat,2018,7.0,63,22962,11846060,70.0
1451,One Direction: This Is Us,2013,4.2,49,22955,28873374,42.0
1452,Tangerine,2015,7.1,85,22917,701837,71.0
1453,Ghost Stories,2017,6.4,68,22903,135095,64.0
1454,The Lady in the Van,2015,6.7,70,22892,10017675,67.0
1455,Honeymoon,2014,5.7,65,22768,9168,57.0
1456,Mr. Church,2016,7.7,37,22682,685143,77.0
1457,Risen,2016,6.3,51,22602,36874745,63.0
1458,Table 19,2017,5.8,40,22542,3606977,58.0
1459,Mr. Turner,2014,6.8,94,22537,3958546,68.0
1460,10 Years,2011,6.1,61,22413,203373,61.0
1461,Mistress America,2015,6.7,75,22395,2461121,67.0
1462,Fading Gigolo,2013,6.2,58,22377,3763973,62.0
1463,Chalet Girl,2011,6.3,42,22269,1201,63.0
1464,Home Again,2017,5.8,41,22268,27020284,58.0
1465,Paranormal Activity: The Ghost Dimension,2015,4.6,30,22210,18300124,46.0
1466,Albert Nobbs,2011,6.7,57,22140,3014696,67.0
1467,Better Watch Out,2016,6.5,67,22092,20369,65.0
1468,Getaway,2013,4.4,22,22090,10494494,44.0
1469,Welcome to the Rileys,2010,7.0,50,22075,152857,70.0
1470,Knight of Cups,2015,5.7,53,22069,558402,57.0
1471,Rampart,2011,5.8,70,22033,969239,58.0
1472,She's Funny That Way,2014,6.1,45,22027,88460,61.0
1473,The Art of the Steal,2013,6.3,53,21938,61446,63.0
1474,Smallfoot,2018,6.7,60,21929,83240103,67.0
1475,Climax,2018,7.3,67,21913,804112,73.0
1476,A Walk in the Woods,2015,6.3,51,21887,29467855,63.0
1477,Bleed for This,2016,6.8,62,21749,4847865,68.0
1478,Mary Queen of Scots,2018,6.3,60,21688,16468499,63.0
1479,Captain Underpants: The First Epic Movie,2017,6.2,69,21669,73921000,62.0
1480,Little White Lies,2010,7.1,50,21581,206088,71.0
1481,The Angels' Share,2012,7.0,66,21545,304357,70.0
1482,ATM,2012,4.7,34,21528,2034,47.0
1483,In the Fade,2017,7.1,65,21526,321011,71.0
1484,Friend Request,2016,5.3,31,21454,3759046,53.0
1485,Puncture,2011,6.9,54,21441,67071,69.0
1486,No,2012,7.4,81,21399,2343664,74.0
1487,Barefoot,2014,6.6,22,21389,11766,66.0
1488,Obvious Child,2014,6.8,76,21386,3122616,68.0
1489,Generation War,2013,8.5,57,21359,87116,85.0
1490,Night School,2018,5.6,43,21353,77339130,56.0
1491,Where to Invade Next,2015,7.5,64,21344,3820195,75.0
1492,The 15:17 to Paris,2018,5.2,45,21295,36250957,52.0
1493,The Pyramid,2014,4.6,24,21268,2756333,46.0
1494,The Strangers: Prey at Night,2018,5.2,48,21170,24431472,52.0
1495,Love & Friendship,2016,6.4,87,21049,14013564,64.0
1496,Good Kill,2014,6.4,63,20991,316842,64.0
1497,About Last Night,2014,6.1,62,20981,48637684,61.0
1498,Little Boy,2015,7.4,30,20873,6420319,74.0
1499,Gringo,2018,6.1,46,20867,4969853,61.0
1500,Free Birds,2013,5.9,38,20848,55750480,59.0
1501,Ricki and the Flash,2015,5.9,54,20820,26822144,59.0
1502,Silent House,2011,5.3,49,20764,12555230,53.0
1503,Spring,2014,6.7,70,20728,48949,67.0
1504,Dolphin Tale,2011,6.9,64,20633,72286779,69.0
1505,Bullhead,2011,7.4,68,20576,151840,74.0
1506,Borg vs. McEnroe,2017,7.0,63,20560,14113354,70.0
1507,Restrepo,2010,7.5,85,20557,1330894,75.0
1508,Cooties,2014,5.7,49,20501,55749,57.0
1509,Thelma,2017,7.0,74,20391,147391,70.0
1510,Closed Circuit,2013,6.2,50,20358,5733310,62.0
1511,The Bad Batch,2016,5.3,62,20353,177680,53.0
1512,The Endless,2017,6.5,80,20317,272020,65.0
1513,Kraftidioten,2014,7.2,74,20207,49284,72.0
1514,I'm So Excited!,2013,5.6,55,20202,1367846,56.0
1515,Mid90s,2018,7.4,66,20165,7362439,74.0
1516,The Wall,2017,6.2,57,20153,1803009,62.0
1517,Operation Finale,2018,6.5,58,20106,17612099,65.0
1518,Passion,2012,5.3,53,20049,91186,53.0
1519,Bad Santa 2,2016,5.6,38,20010,17782178,56.0
1520,Afflicted,2013,6.3,56,19991,121179,63.0
1521,The Way He Looks,2014,7.9,71,19981,101137,79.0
