,movie,year,imdb,metascore,votes,gross (usd),n_imdb
281,Star Trek Beyond,2016,7.1,68,208426,158848340,71.0
282,The Lone Ranger,2013,6.4,37,208000,89302115,64.0
283,Warm Bodies,2013,6.9,60,207961,66380662,69.0
284,The Twilight Saga: Breaking Dawn - Part 1,2011,4.9,45,207309,281287133,49.0
285,The Ides of March,2011,7.1,67,206996,40962534,71.0
286,Megamind,2010,7.3,63,206225,148415853,73.0
287,The Tourist,2010,6.0,37,205780,67631157,60.0
288,RoboCop,2014,6.2,52,204999,58607007,62.0
289,Transcendence,2014,6.3,42,203701,23022309,63.0
290,Hotel Transylvania,2012,7.1,47,203439,148313048,71.0
291,Nocturnal Animals,2016,7.5,67,203344,10639114,75.0
292,The Adventures of Tintin,2011,7.3,68,201645,77591831,73.0
293,Contagion,2011,6.6,70,200837,75658097,66.0
294,Sully,2016,7.5,74,200618,125070033,75.0
295,Just Go with It,2011,6.4,33,199858,103028109,64.0
296,Maze Runner: The Scorch Trials,2015,6.3,43,199629,81697192,63.0
297,War for the Planet of the Apes,2017,7.5,82,199084,146880162,75.0
298,Predators,2010,6.4,51,198759,52000688,64.0
299,Southpaw,2015,7.4,57,198671,52421953,74.0
300,Insurgent,2015,6.2,42,198431,130179072,62.0
301,Sinister,2012,6.8,53,197048,48086903,68.0
302,Incredibles 2,2018,7.7,80,196905,608581744,77.0
303,No Strings Attached,2011,6.2,50,196765,70662220,62.0
304,The Greatest Showman,2017,7.6,48,196726,174340174,76.0
305,The Lincoln Lawyer,2011,7.3,63,195468,58009200,73.0
306,Cowboys & Aliens,2011,6.0,50,195128,100240551,60.0
307,Gangster Squad,2013,6.7,40,194895,46000903,67.0
308,A Separation,2011,8.3,95,194614,7098492,83.0
309,Minions,2015,6.4,56,192438,336045770,64.0
310,The Conjuring 2,2016,7.4,65,192013,102470008,74.0
311,Safe House,2012,6.8,52,191853,126373434,68.0
312,Teenage Mutant Ninja Turtles,2014,5.8,31,191662,191204754,58.0
313,Oz the Great and Powerful,2013,6.3,44,191591,234911825,63.0
314,American Reunion,2012,6.7,49,191510,57011521,67.0
315,San Andreas,2015,6.1,43,191256,155190832,61.0
316,Focus,2015,6.6,56,191048,53862963,66.0
317,White House Down,2013,6.4,52,190851,73103784,64.0
318,Rio,2011,6.9,63,190654,143619809,69.0
319,The Intern,2015,7.1,51,190281,75764672,71.0
320,Jason Bourne,2016,6.6,58,189257,162434410,66.0
321,Spider-Man: Into the Spider-Verse,2018,8.5,87,188983,190241310,85.0
322,A Good Day to Die Hard,2013,5.3,28,187665,67349198,53.0
323,Pain & Gain,2013,6.4,45,186959,49875291,64.0
324,Ghostbusters,2016,5.2,60,185614,128344089,52.0
325,Green Book,2018,8.3,69,185104,85074156,83.0
326,Don't Breathe,2016,7.1,71,184636,89217875,71.0
327,Hansel & Gretel: Witch Hunters,2013,6.1,23,182433,55703475,61.0
328,The Purge,2013,5.7,41,182118,64473115,57.0
329,Machete,2010,6.6,60,181750,26593646,66.0
330,2 Guns,2013,6.7,55,181215,75612460,67.0
331,Life,2017,6.6,54,181117,30234022,66.0
332,After Earth,2013,4.8,33,180955,60522097,48.0
333,It Follows,2014,6.9,83,180924,14673301,69.0
334,The Lobster,2015,7.1,82,180361,8699235,71.0
335,Bad Teacher,2011,5.7,47,180361,100292856,57.0
336,Everest,2015,7.1,64,180222,43482270,71.0
337,Lion,2016,8.1,69,179850,51739495,81.0
338,The Internship,2013,6.3,42,179218,44672764,63.0
339,Blue Jasmine,2013,7.3,78,178708,33405481,73.0
340,Hanna,2011,6.8,65,178450,40259119,68.0
341,The Fate of the Furious,2017,6.7,56,177678,226008385,67.0
342,Project X,2012,6.7,48,177108,54731865,67.0
343,The Impossible,2012,7.6,73,176631,19019882,76.0
